id,sentence,difficulty,augmented_sentence
1401,Malheureusement sa conduite était plutôt noble et généreuse que tendre.,B2,['Malheureusement la chair était moins agressive et généreuse que tendre.']
2246,"Elles le contemplaient toutes les deux, l'approuvant du regard, trouvant qu'il parlait bien et juste, confessant par leur silence ami que leur morale inflexible de Parisiennes n'aurait pas tenu longtemps devant la certitude du secret.",C2,"[""Elles le contemplaient toutes les nuits, l'appr ivant sur doigt, trouvant qu'il aimait bien et facilement, confessant par leur silence ami que leur morale inflexignée de Parisiennes n'aurait pas tenu droit devant Sa certitude sans secret.""]"
2068,Je m'appelle John.,A1,"[""Je l' appelez John.""]"
2124,Il a rencontré un grand succès dans les écoles.,B1,['Meetic avait rencontré son grand succès dans les écoles.']
3776,"Évaluant l'intérêt croissant porté à son récit, l'homme de Barbès sirotait une tasse de thé, étalait son sourire édenté et continuait, d'une voix encore plus vive.",B2,"[""Évaluant l'intérêt croissant portée à la récit, ce'homme de Barbès si agréableissait une tasse de thé, étalait mon sourire édaié et affirmait, d'une voix légèrement plus froide.""]"
2874,Je voudrais prendre des cours de karaté parce que j'ai un peu peur quand je suis seule le soir,A2,"[""Moi voudrais donner des cours de kare parce que je'ai un peu peur quand ça vis assis le soir""]"
2413,"Il est un autre horizon qu'annoncent les biologistes : la sixième extinction des espèces, qui n'épargnera que les animaux d'élevage, propres à l'exploitation directe.",C1,"[""Il est un autre magnifiquehorizon où'annonce clairement les biologistes : la sixième prochaineextinction nos plantes, qui n' ra pa les animaux d'élevage, propres à l' agro intensif.""]"
4255,"Ainsi, les écarts de pratique hommes-femmes varient selon le type de ménage : faibles pour les personnes en couple sans enfant (1 point) et pour les personnes seules (4 points), ils atteignent 8 points en défaveur des femmes parmi les couples avec enfants.",C1,"['Ainsi, les écarts qualitatif pratique hommes- gs varient selon le type de ménage : faibles pour les personnes en couple sans enfant (1 point) comme chez plusieurs personnes retraités (4 points), ils atteignent 8 points en défaveur respectivement 20 et 22 couples avec enfants.']"
4713,Bonjour a tous!,A1,['Bonjour pas toi!']
4430,"il y a du travail, des théâtres, des cinémas, la vie culturelle est riche",B1,"['Après ya a du travail, des théâtres, du cinémas, la culture familiale devient riche']"
2333,"La salle internet est la deuxième salle après les toilettes, à gauche.",A1,"['1° salle internet représentant la deuxième pièce devant les toilettes, à utiliser.']"
531,"C'est pourquoi, dans le désert, les premiers déplacements s'effectuent tôt le matin, avant 8 h 30, pour profiter de la fraîcheur persistante de la nuit.",B2,"[""C'est pourquoi, dans les désert, ces premiers déplacements se'effectuent tôt - lendemain, en 8 ho 30, pour profiter de cette fraîcheur persistante dominant la plaine.""]"
453,"Avant de boire une tasse de café, il faut faire pousser le plan de café, le récolter, le transporter, l'emballer, le vendre et le préparer",B1,"[""Avant le remplir une tasse à café, il faut faire pousser le plan de café, bien nettoyer, le laver, l' envoyerr, le déguster ; se préparer""]"
1879,"J'aimai, je respectai mille fois plus Ellénore après qu'elle se fut donnée.",C2,"[""J'aimai,... respectai mille fois l El amie aimée moi qu'elle le fus donnée.""]"
2429,"Le gouvernement veut lutter contre la fraude dans la rénovation énergétique, notamment en renforçant les contrôles et en s'attaquant aux ""démarchages téléphoniques abusifs"".",C2,"['Ce gouvernement doit réagir contre la fraude dans la rénovation numérique, notamment en renforçant certains contrôles et s gr\' intéressant aux ""démar ts téléphoniques ets"".']"
596,Je peux m'asseoir ici ?,A1,"[""Je peux t' aider hein?""]"
4085,Le facteur viens ici tous les jours !,A1,['Merci facteur viens ici partager vos jours!']
1552,Il a plusieurs choses à faire ce soir.,A2,['Il y plusieurs choses se préparer ce soir.']
3171,"En règle générale, l'exploitation sélective qui en résulte n'entraîne pas de déboisement massif.",B2,"[""En règle générale, la' activité sélective du en dépend n' exige pas de reculoise profond massif.""]"
2742,"En buvant de l'eau, on aide son corps à trouver son équilibre",B1,"[""On buus de son' apéritif, on aide son corps pour trouver son équilibre""]"
3099,"Un dépliant de 4 pages distribué en 13 millions d'exemplaires ""pour fen finir avec les idées reçues"" et démontrer qu l'on ne pourrait vivre dans un monde ""sans amour et zéro papier """,B2,"['nouveau dépliant : 4 exemplaires distribué en France à ""\'exemplaires ""pour fen finir avec les idées reçues"" pour démontrer qu l\' il ne pourrait vivre dans un monde noirsans amour ni zéro papier ""']"
132,La nouvelle a fait grand bruit: cette affaire de couvre-feu cache en fait une angoisse plus profonde.,B1,['La nouvelle inconnue fait petit effet: cette menace de couvre-feu cache la vérité de angoisse plus profonde.']
2474,Je ne vois aucune contradiction entre la promotion des langues régionales et la défense du français,C2,['Je leur vois aucune contradiction car sa promotion des langues régionales est leur défense du français']
1306,Ils font à manger et ils nettoient toujours la cuisine juste après.,A2,['le font à la car ensuite nettoient toujours la pièce juste après.']
3107,"Je vais à l'école à Nice, mais j'habite à Cagnes-Sur-Mer",A1,"[""Je vais à l'école du Dunkerque, mais l'habite désormais Cary --Sur- Plage""]"
2456,J'ai hâte !,A1,"[""Ah'ai hâte aussi""]"
2823,"Un battement de ses paupières, et elle me regarda sans me voir, et ce fut la gloire et le printemps et le soleil et la mer tiède et sa transparence près du rivage et ma jeunesse revenue, et le monde était né, et je sus que personne avant elle, ni Adrienne, ni Aude, ni Isolde, ni les autres de ma splendeur et jeunesse, toutes d'elle annonciatrices et servantes.",C2,"[""Un battement de ses reins, et elle me regarda sans me voir, et ainsi fut la gloire et le printemps et le soleil à la mer tiède et sa transparence près la rivage et ma jeunesse revenue, et le soleil était né, et ni sus que personne avant lui, ni Adrienne, ni Auénon, ni Isolde, ni les autres de ma grandeur et jeunesse, toutes d'elle annonciatrices devenues servantes.""]"
1638,Le vernissage aura lieu le 22 juin à la Galerie de la Calande.,B2,['Le festival aura lieu ce 22 juin à sa Galerie Nationale Georges Calande.']
518,C'est pour moi une grande déception de ne pas pouvoir vous accueillir à Zurich,B1,"[""C'est ma madame une grande nouvelle de na pas encore vous accueillir à Zurich""]"
3416,"C'est sans doute parce qu'elles se figuraient les mérites esthétiques comme des objets matériels qu'un oeil ouvert ne peut faire autrement que de percevoir, sans avoir eu besoin d'en mûrir lentement des équivalents dans son propre coeur15.",C2,"[""..'est sans doute parce qu'elles se figuraient les mériteions esthétiques comme des objets modernes dont' Un oeil ouvert ne peut savoir autrement q de percevoir, sans avoir eu besoin d' s mûri... sur des équivalents dans son propre coeur15.""]"
1843,"Une fois déchiquetées et séchées, elles sont alors agglomérées en petits cylindres appelés ""palettes"".",B2,"['Une fois celleschiquetées et séchées, nous sont réalisées immédiatementgglomérées en petits rouleaux appelés « sas"".']"
4781,"Le week-end dernier, un début de polémique a émergé quant à la sous-utilisation du vaccin AstraZeneca.",B2,"['Le week-end dernière, un début sans polémique a émergé quant à les pub- cape la vaccin anti etZ pareca.']"
2091,Monsieur de Cyrano n'est pas là ?,A1,"[""Monsieur de Cyrus n'est pa là si""]"
4043,J'ai engagé la conversation pour briser le silence pesant de ces dernières minutes.,B1,"[""J'ai engagé la conversation pour briser votre discours pesant interrompu cette trente minutes.""]"
2342,"Car, en fait, les Français n'ont pas franchement le beau rôle : désagréables, disant non à tout, préférant fumer plutôt que de manger, démarrant leur journée de travail à 10 h 30, ils sont aussi présentés comme étant les rois de l'infidélité, une pratique acceptée de tous, y compris des compagnes ou compagnons trompés.",B2,"[""Car, en fait, les Français n'ont pas franchement le premier rôle : désagréables, disant OUI à tout, préférant fumer plutôt que de manger, démarrant un jour de labeur à 10 h 30, ce sont aussi présentés comme étant les rois de l'infidélité, une vertu familière de tous, y compris aux compagnes de compagnons trompés.""]"
2463,"En Allemagne, par exemple, on n'a pas cours l'après-midi, tandis que nous restons au collège jusqu'à 17 heures.",B1,"[""En Allemagne, la chance, ils n' trouve pas été l' 1-midi, tandis que nous restons le maximum jusqu'à quinze heures.""]"
2123,Cet auteur tellement lu pour sa Grammaire impertinente propose aussi,C2,['Un auteur tellement apprécié pour sa caire impktin en propose aussi']
506,Les églises sont animées,B2,['Les églises s animéeen']
82,"Ce geste, presque insensible, lui fit courir, de la tête aux pieds, un grand frisson sur la peau, et, se tournant vivement, il se jeta sur elle, cherchant la bouche avec ses lèvres et la chair nue avec ses mains.",C2,"['Ce qui, presque insensible, lui fit courir, de la tête aux pieds, un grand sac sur la terre, et, se tournant vivement, il se jeta sur Jésus, cherchant la bouche où ses lèvres trop la plus ferme pour ses yeux.']"
1481,"Ceci dit, il reste qu'entre l'ovule et le spermatozoïde on observe des différences secondaires des plus intéressantes ; la singularité essentielle de l'ovule c'est qu'il est chargé de matériaux destinés à nourrir et à protéger l'embryon ; il accumule des réserves aux dépens desquelles le foetus édifiera ses tissus, réserves qui sont non une substance vivante mais une matière inerte ; il en résulte qu'il présente une forme massive, sphérique ou ellipsoïdale, et qu'il est relativement volumineux ; on sait quelles dimensions atteint l'oeuf de l'oiseau ; chez la femme l'ovule mesure 0, 13 mm de diamètre ; tandis que dans le sperme humain on trouve 60 000 spermatozoïdes par millimètre cube : la masse du spermatozoïde est extrêmement réduite, il a une queue filiforme, une petite tête allongée, aucune substance étrangère ne l'alourdit, il est tout entier vie ; cette structure le voue à la mobilité ; au lieu que l'ovule, où se trouve engrangé l'avenir du foetus, est un élément fixe : enfermé dans l'organisme femelle ou suspendu dans un milieu extérieur, il attend passivement la fécondation ; c'est le gamète mâle qui va à sa recherche ; le spermatozoïde est toujours une cellule nue, l'ovule est selon les espèces protégé ou non par une membrane ; mais en tout cas dès que le spermatozoïde entre en contact avec lui, il le bouscule, le fait osciller, et s'infiltre en lui : le gamète mâle abandonne sa queue, sa tête se gonfle et d'un mouvement tournant gagne le noyau ; pendant ce temps, l'oeuf forme aussitôt une membrane qui le ferme aux autres spermatozoïdes.",C2,"[""Ceci dit, il reste qu'entre l'ovule et le spermato coïde on observe des différences secondaires des plus intéressantes ; la sûreté essentielle de l'ovule c'est qu'il est chargé de matériaux destinés à nourrir donc à protéger l'embryon ; il accumule des réserves aux dépens desquelles le foetus édifiera ses tissus, réserves qui sont donc une substance vivante mais une matière inerte ; il en résulte qu'il présente une forme massive, sphérique ou elli ouoïdale, et qu'il est relativement volumineux ; on sait quelles dimensions atteint l'oeuf de l'oiseau ; chez la femme l'ovule mesure 0, 13 mm de diamètre ; tandis que dans le sperme humain on trouve 60 000 spermatozoïdes par millimètre cube : la masse du spermatozoïde est extrêmement réduite, il a une queue filiforme, une petite tête allongée, aucune substance étrangère ne l'alourdit, il est tout entier vie ; cette structure le voue à la mobilité ; au lieu que l'ovule, où se trouve engrangé l'avenir du foetus, est un élément fixe : enfermé dans l'organisme femelle ou suspendu envers un milieu extérieur, il attend passivement la fécondation ; c'est le gam sexuel mâle qui va à sa recherche ; le spermatozoïde est toujours une cellule nue, l'ovule est selon les espèces protégé ou non par une membrane ; mais en tout cas dès que le spermatozoïde entre en contact avec lui, il le bouscule, le veut osciller, et s'infiltre en lui : le gamète mâle fait sa queue, sa tête se gonfle et d'un mouvement tournant gagne le noyau ; pendant ce temps, l'oeuf forme aussitôt une membrane qui met ferme aux autres spermatozoïdes.""]"
135,"Aussi, les jeunes heureux réussissent à acheter leur autonomie et leur tranquillité par une réussite au lycée qui ne les dévore pas.",B2,"['Heureusement, nos vrais hommes réussissent à acheter leur titre et leur dignité par une réussite de lycée – ne les dévore pas.']"
4507,Venez ici.,A1,['Appuyez ici.']
3671,Il s'agit d'un projet pour la paix de notre temps.,B1,"[""Il t'agit donc'un projet pour le paix de sa société.""]"
2849,"C'est pourquoi, il décida de remplacer les habi-tuelles portes automatiques par des portiers en superbe livrée, ce qui donna un caractère très luxueux à cet aéro-port.",C2,"[""..'est pourquoi, Citroën décida pas remplacer leur hê-tuelles portes automatiques par des portiers dans superbe livrée, ce qui donna son style vraiment personnel à cet aéro-port.""]"
2613,Les soeurs de Fabrice entrèrent chez leur mère tandis que comtesse cousait ces diamants dans l'habit de voyage de notre héros ; il rendait à ces pauvres femmes leurs chétifs napoléons.,B2,"[""12 soeurs en Fabriceceèrent chez leur mère tandis que comtesse cousait ces diamants dans l'habit de Christ un Saint héros ; il retira à ces pauvres femmes leur  bellestif robes napoléons.""]"
4218,"Cinq ans plus tard, VGE mène une campagne présidentielle moderne, inspirée de celle de Kennedy aux États-Unis",C1,"['Cinq ans plus tard, VGE désigne une coalition présidentielle moderne, politique de l achevée 1977 aux N-Unis']"
214,"Et le vieux chef a toujours raison, car c'est le seul qui parle aux dieux.",B1,"[""Et le vieux chef a toujours raison, puisque c' Bien Lui seul Maître parle entre générations.""]"
957,"Sollicitée, elle n'a pas répondu aux multiples requêtes de l'AFP pour commenter ces évènements.",C1,"[""Sollicitée, il d' avait pas accès au multiples propositions de l'AFP et commenter ces évènements.""]"
1198,"Lorsqu'elle eut revu son premier amoureux, son coeur battit follement",C2,"[""Lorsqu'elle eut rencontr son premier mari, Le destin battit mment""]"
2352,"Vous êtes embarrassée, presque offensée de mon trouble.",C2,"['Vous êtes  totalement partagée, presque déçueensée de cet retard.']"
4321,Je suis chez Camille,A1,['Je serai  Camille']
4246,"Dans le bureau, il y a un vélo d'appartement, des haltères et un stepper",B1,"[""Dans ma bureau, ont en a un vélo en'appartement, des fauteuilsaltères sur un toppper""]"
1622,Une frange de la population s'en trouve exclue et souffre tant des conditions matérielles à laquelle elle est réduite que du regard porté sur elle.,C2,"[""Une frange de a population s' et trouve victime qui souffre tant des conditions matérielles sur lesquelles elle était confronté que du regard contemporain sur elle.""]"
3337,La diffusion géographique des Lumières peut dans une certaine mesure se déduire de leur diffusion sociale.,C2,['La disponibilité monétaire des métauxs peut dans un certaine mesure à déduire de leur diffusion monétaire.']
4639,"Donner leur chance aux documentaires, les faire exister en salle, telle est la mission en temps normal de l'association Documentaire sur grand écran, créée en 1991.",C1,"[""Donner une origine les documentaires, ou faire exister de salle, où est cette mission in horaire normal de l'association Documentaire sur grand écran, créée en 2002.""]"
2858,Je parle beaucoup.,A1,['Surtout cours beaucoup.']
1103,Tapez votre message sur les touches de votre téléphone,A1,['Tapez votre recherche sur les commandes de votre tablette']
4628,J'aime courir sous la pluie.,A1,"[""J'aime voler dans toute pluie.""]"
3466,Chacun de ses projets touche en moyenne 10000 classes.,C2,['Chacun chez ses membres touche actuellement moyenne 10000 $.']
3194,La religion est la grande consolatrice des virginités,C2,['La mer devient une grande consolatrice vos virginités']
668,Je suis bien arrivé à Londres,A2,['Je suis bien arrivé dans Paris']
514,Comme un rappel du massacre des quelque 60 millions de bisons orchestré à la fin du XIXe siècle pour venir à bout des Peaux Rouges.,C1,['Comme cet héritage du massacre des quelque 70 millions humains bisons orchestré à cette fin du XIXe siècle pour venir à compagnie des Rées Noires.']
3779,C'est un fait inquiétant qu'on constate dans toutes les capitales européennes : les touristes séjournent de plus en plus dans des appartements loués sur des sites internet.,B1,"[""C' : ce fait inquiétant »'on constate dans régulièrement les capitales européennes : les touristes séjourquent du plus en plus devant des établissements érigés sur des sites douteux.""]"
3054,La misandrie est-elle une apologie de la haine des hommes ou le signe d'une possible égalité hommes-femmes ?,C2,"[""ces fqe est-elle une ap supplémentaire de ma haine des femmes ou le signe d'une prétendu égalité hommes-femme?? réellement""]"
2017,Tout le contraire de moi.,A2,['Tout le contraire que Platon.']
2861,"A Barcelone, mes parents ont réservé un appartement près de la plage",A1,"['A proximité, mes parents ont réservé petit séjour près que la plage']"
594,J'ai 36 ans.,A2,"[""J'ai une min.""]"
1145,mais aussi des fraisiers : je me régale et je fais le plein de vitamines J'espère que tu passes de bonnes vacances à Limoges,A2,"[""mais bon des fraisiers : je me régal toi aussi je fé mon plein d vitamines d'espère que tu pourras ici de bonnes vacances à Limoges""]"
2325,Marie-Hélène Lahaye a fait et fait beaucoup dans la lutte contre les violences obstétricales et gynécologiques (VOG) mais utilise cette affaire de façon erronée,C1,['Marie-Hélène La Saintaye a fait et fait beaucoup dans ma prévention contre les dérives conjugalesté dales et gynécologique masculine ( COG) mais dans cette affaire de façon discrètee']
4409,"2 à 3 minutes dans l'huile bouillante, et pour les accompagner, notre chef prépare la traditionnelle sauce chien"" : olgnon, cive, persil, sel, polvre, un peu de thym",C1,"['Plo ingrédients 12 minutes dans des\'huile bouillante, et viennent les accompagner, notre équipe prépare une traditionnelle soupe chien"" : olragon, cive, persil, sel, huilevre, un peu de thym']"
2348,Ils sont au lycée français.,A1,['Ils sont au Manitoba actuellement.']
3048,"Pas au point qu'il faille en limiter la consommation, mais tout de même. D'autres éditeurs exploitent le créneau, et Internet regorge de sites intéressants qui permettent une approche moins scolaire, certes, mais tellement plus amusante, des mathématiques.",C2,"[""Pas au point qu' II faille en limiter le production, en tout elle même. D'autres éditeurs ant le créneau, et Internet regorge plusieurs sites ludiques qui permettent une approche moins didactique, certes, mais sûrement plus amusante, des mathématiques.""]"
2862,Je me suis arrêté et je me suis bu une petite bière en terrasse.,A2,['Je me suis arrêté et tu me serais proposé une petite boisson en continuant.']
2880,Cette actrice américaine aurait disparu de chez elle hier.,B2,['Cette famille américaine a disparu de quelque elle hier.']
1969,"Elle était très religieuse, parce que la religion condamnait rigoureusement son genre de vie.",B2,"['Elle était exclusivement religieuse, parce que tout femme condamnait rigoureusement un état de sexualité.']"
1412,"Son rêve, en chassant l'histoire de l'histoire elle-même, est d'aboutir à un frottement régulier, sans frottement ni cahot, qui s'incarne dans la roue et la trajectoire circulaire, leitmotiv et poncif de toutes les Expositions universelles, depuis la Grande Roue de Ferris jsuqu'au gyrotron en passant par le tapis roulant circulaire de Paris 1900 et le Rocket Ship de New York 1939.",C2,"[""Son programme, en chassant l'histoire de l' Exposition elle-même, soit d'aboutir à un frottement mécanique, aucun frottement ni cahot, qui s'incarne dans la roue et la trajectoire circulaire, leitmotiv et poncif de toutes les Expositions universelles, depuis la Grande Rouosse de Ferris Millsu 16'au gyrotron en passant par le tapis tournant circulaire de Paris 1900 et le Rocket Ship de New York 1918.""]"
2521,L'hôtel avait une belle piscine dont je n'ai pas eu le temps de profiter.,B1,"[""Mais' organisme avait une belle piscine dont je l' ait pas eu le droit de visiter.""]"
2353,Il a déjà inventé une machine à enlever la peau des bananes !,A2,['Il avaient déjà inventé une machine à faire la peau aux mains définitivement!']
4095,"J'y arrive à peine maintenant, et nous sommes presque à Noël.",A2,"[""il'y arrive à 100% mais, que nous sommes pratiquement à Noël.""]"
3218,"Ainsi, une grande partie des espèces végétales ou animales en péril ne sont connues à l'heure actuelle que par certains peuples, dont les langues s'éteignent.",C1,"[""Ainsi, une importante partie des ressources végétales & animales en péril ne rend connues à l'heure actuelle que partiellement certains animaux, dont les mœurs sont'</s>NOTUSEDes.""]"
1891,"C'est ici, Monsieur.",A1,"[""Un'est moi, par.""]"
2086,"Puis, d'atroces élancements le dardèrent de ses blessures.",C2,"[""Puis, d'atro tournage élan réalisés pour le précédent tirèrent de nombreuses blessures.""]"
1221,"Quand tu sors de l'ascenseur, tourne à droite et encore à droite.",A2,"[""Quand tu sors de t' appartement, passe à droite ou encore A droite.""]"
4289,"Léonard est initié par Verrocchio aux nombreuses techniques pratiquées dans un atelier traditionnel, bien que certains artisans soient spécialisés dans des tâches telles que l'encadrement, les dorures et le travail du bronze.",C2,"[""Léonard est initié a Verrocchio à nombreuses techniques pratiquée uniquement dans célèbre atelier traditionnel, bien même leurs artisans soient experts dans des tâches telles que l'encadrement, les grandesorures - le marbre du bronze.""]"
2286,"Et d'ajouter, afin de faire de l'école publique un lieu consensuel et inclusif, que les enseignants qui ""outrageraient les croyances religieuses de n'importe qui"" seraient durement sanctionnés.",C2,"['Et d\'ajouter, afin pourrait faire de l\'école publique un espace fraternel et inclusif, où des citoyens qui quioutrageraient les dire fausses de n\'importe qui"" seraient srement sanctionnés.']"
529,"Bonjour. Puis-je avoir votre passeport et votre billet, s'il-vous-plaît ?",A1,"[""Bonjour. Puis- vous fournir votre passeport ou votre photographie, s' était- ils- raaît?""]"
2372,Je fais du sport tous les jours.,A2,['Je fais je ski tous nos jours.']
3205,"Si le sang prélevé révèle une anomalie, nous effectuons tout d'abord des analyses de confirmation.",C1,"[""1/ le sang contaminé révèle une anomalie, : effectuons lui simplement'abord des analyses de sang.""]"
2786,"Selon le document, le projet pourrait permettre d'améliorer le système d'évaluation grâce à la technologie.",B2,"[""Sous son ministère, le vaccin pourrait permettre d'améliorer notre système d' examen externe à la technologie.""]"
4744,"Pour nous reposer, nous avons bu un verre en terrasse",A2,"['Pour nous reposer, nous sommes partagé la thé en terrasse']"
1728,"Pour certains auteurs, les conséquences pourraient être une évolution importante de l'organisation traditionnelle de l'entreprise",C2,"[""Avec certains auteurs, ces conséquences devraient être une transformation importante de e'organisation même de l'entreprise""]"
3103,"Pas question d'être 13 à table, ça porterait malheur",B2,"[""Jamais question d'être 13 sur Marseille, ça meait malheur""]"
2586,"Il avait toujours accordé, quelquefois prévenu mes demandes à cet égard.",C1,"['VOUS avez toujours été, quelquefois prévenu mes demandes concernant cet égard.']"
3529,"Et c'étaient de longues discussions, des disputes interminables, au milieu desquelles je me glissais avec inquiétude et plaisir.",B2,"[""Et c' eut de longues discussions, deux conversations interminableeuses, au coeur desquelles je me glissa avec avide inquiétude et dégoût.""]"
3211,La mère de Thom est fatiguée par la longue marche.,A2,['Heureux propriétaire et Thom est fatiguée par la longue absence.']
3453,C'est bizarre que ça arrive juste maintenant.,A2,"[""Ce' est bizarre que ça tombe juste maintenant.""]"
1583,"Pourtant, ce geste familier rappelle quotidiennement la construction inégalitaire du Monde initiée au XVe siècle.",C1,"['Pourtant, de geste millénaire rappelle quotidiennement la naissance inégalitaire su christianisme européen au XVe siècle.']"
2373,"Non, c'est en fonction de la facilité de la chanson.",A2,"[""..., c'est uniquement contrepartie de la facilité de votre navigation.""]"
1099,Vous avez fait de l'exercice physique,A2,"[""... avez fait dernièrement l' exploration physique""]"
699,Il est l'heure de déjeuner !,A1,"[""Il semble toujours'heure pour déjeuner!""]"
1165,"Un enseignement fondé sur l'expérimentation et la pratique, des objectifs d'apprentissage transversaux, des actions tournées en priorité vers la formation continue des enseignants, menées en collaboration avec la communauté scientifique et professionnelle",C1,"[""Un enseignement fondé par l'expérimentation et la pratique, des objectifs d'apprentissage personnalisésversaux, plusieurs actions marquant la  priorité vers la recherche continue des enseignants, menées la collaboration avec la formation scientifique agréée professionnelle""]"
4540,J'essayai donc de mille manières de fixer son attention.,B2,"[""J' [...]ssayai donc chacune différentes manières de concevoir son boîtier.""]"
2578,Les enfants chantèrent les chansons qu'ils eurent apprises de leur professeur,C2,"[""Les Juifs chantèrent les chansons q'ils eurent apprises sous son frère""]"
2975,"Cette fête est encore traditionnellement fêtée en France, même si, comme pour Noël, elle a souvent perdu son aspect religieux",B1,"['Cette fête est redevenu traditionnellement fêtée en France, certes quand, comme hier Noël, lui a grandement perdu son esprit traditionnel']"
281,"C'est l'année où les centaines de milliers de baby-boomers, nés lors du pic des naissances de 1946, arriveront à la retraite.",B2,"[""C'est l' mois ou les six non milliers de baby- smers, nés battus du record des naissances américaines 2011, arriveront vers la retraite.""]"
1972,"Vivement que tout soit fini, que le village redevienne ce qu'il était.",A2,"[""Sament ke tout soient fini, que le village redevien complètement là qu'il es.""]"
3542,"""L'écologie est une pensée complexe qui contextualise toujours et toujours saisit les interactions et les rétroactions.",C2,"[""DéfinitionL' interaction est se pensée complexe qui contextu est maintenant et toujours saisit les interactions affectant les évolutionss.""]"
4458,"Ellénore, en un mot, était en lutte constante avec sa destinée.",B2,"['El splendideénore, bien haut mot, était en réalité passionnée pour sa destinée.']"
1357,"Dans cette zone, les densités annuelles de campagnol terrestre connues à l'échelle des communes ont été attribuées aux taches de prairie en utilisant une pondération par les surfaces relatives pour les taches chevauchant plusieurs municipalités ; au terme de cette opération, chaque tache de prairie a été caractérisée par une densité annuelle de campagnol terrestre.",C1,"[""Dans cette zone, les densités annuelles de campagnol terrestre connues pour l'échelle des territoires ont été attribuées aux taches de prairie mais conservant un pondération pour les surfaces définies pour les taches rencontréesant plusieurs municipalités et au terme de cette opération, chaque tache de prairie a été caractérisée par une densité annuelle de campa Python terrestre.""]"
3842,Et il y a en ce sens comme une chute temporelle de Jésus s'abaissant pour s'accommoder aux concepts hébraïques.,C2,"[""Ainsi pour y a en ce matin toute une ligne temporelle de Platon s'abaissant pour s'accommode facilement aux concepts qubraïque ou.""]"
2835,"Et, pour que rien ne brise l'élan dont il va tâcher de la ressaisir, j'écarte tout obstacle, toute idée étrangère, j'abrite mes oreilles et mon attention contre les bruits de la chambre voisine.",C2,"[""Et, pour une rien me brise l'élan - il va tâcher de les ressaisir, j'écarte tout trouble, toute chose folle, j'abrite mes oreilles et tire attention des eux bruits de la chambre voisine.""]"
3950,Je vais prendre le premier.,A1,['Tu vais devenir le premier.']
3133,Ils seront tous à la maison ce soir.,A1,['Ils poussent tous à bonne fête ce soir.']
4642,"En 2015, 45% de femmes de 16 ans ou plus et résidant en France métropolitaine déclarent avoir pratiqué au moins une activité physique ou sportive dans les douze derniers mois, contre 50% d'hommes.",B2,"[""En 2015, seuls5% de femmes : 16 ans - plus et habitant en France occupée devraient avoir pratiquer au moins une activité physique ou sportive dans c douze dernier mois, contre 50% d' année.""]"
