id,sentence,difficulty
2143,"Parfois, le matin, alors qu'elle était absorbé par quelque tâche solitaire, tout occupée à cueillir des champignons ou des framboises, ou à coudre, ou à lire un livre de philosophie qui l'ennuyait, mais il fallait se cultiver pour lui, ou à lire avec honte et intérêt le courrier du coeur ou l'horoscope d'un hebdomadaire féminin, elle s'entendait tout à coup murmurer tendrement deux mots, sans l'avoir voulu, sans avoir pensé à lui.",C2
1571,"Comme il ne pouvait pas sortir, il s'enveloppa dans son manteau, se coucha à terre, et dormit comme les serpents.",A2
4079,"Ses différentes facettes, de l'amour, dans les relations intimes, à la conscience d'appartenir à une commune humanité, sont le ciment du projet individualiste.",C1
1122,"Les pèlerins partagèrent alors cette célébration avec leurs voisins indiens, et ceux-ci apportèrent alors des dindes à rôtir",C1
2786,"Selon le document, le projet pourrait permettre d'améliorer le système d'évaluation grâce à la technologie.",B2
2967,"La promenade pédagogique et interactive dans les différents jardins (médiéval, tropical, espèces odorantes et protégées) fera appelà tous vos sens et vous expliquera les vertus et les utilisations des plantes.",B2
2504,"Inversement, les régions tempérées lointaines n'intéressent que médiocrement les colonisateurs jusqu'à l'explosion démographique du Vieux Continent au XIXe siècle, moment où les pays neufs deviennent des polongements européens.",C2
3465,Elle commémore la résurrection de Jésus mais fête aussi le printemps,B1
675,"La locomotive, dirigée par le bras d'un mécanicien anglais et chauffée de houille anglaise, lançait sa fumée sur les plantations de cotonniers, de caféiers, de muscadiers, de girofliers, de poivriers rouges.",B2
2808,"Com' est l'abréviation de communication, de commandant, de communion, de commerce - le petit com du coin, ainsi de suite.",B2
3348,Je vais au travail en transports tous les jours.,A1
728,Les adaptations cinématographiques détruisent l'image fictive donnée par les oeuvres littéraires.,B2
412,Il est considéré comme un membre de la famille à part entière.,A2
3146,"En particulier, chez les adolescents qui perçoivent leur réseau amical dans la vie réelle comme étant de faible qualité, les longues durées passées sur Facebook sont associées à davantage de troubles dépressifs et d'anxiété sociale.",C1
1516,Cet essor est lié à la mise en place de mesures fiscales favorables aux parents.,C1
825,"Le principe général adopté pour identifier les zones de vulnérabilité repose sur la ""méthode de la suppression"" : partant d'une certaine métrique de connectivité calculée pour l'ensemble du graphe, elle consiste à simuler successivement la suppression de tous les éléments du graphe (taches ou liens) et à calculer pour chacun le taux de variation entre la valeur initiale de la métrique et la valeur tenant compte de la suppression.",C1
3267,"Il y en avait un qui était un haut compartiment divisé en une centaine de petits vitraux rectangulaires où dominait le bleu, comme un grand jeu de cartes pareil à ceux qui devaient distraire le roi Charles vi ; mais soit qu'un rayon eût brillé, soit que mon regard en bougeant eût promené à travers la verrière, tour à tour éteinte et rallumée, un mouvant et précieux incendie, l'instant d'après elle avait pris l'éclat changeant d'une traîne de paon, puis elle tremblait et ondulait en une pluie flamboyante et fantastique qui dégouttait du haut de la voûte sombre et rocheuse, le long des parois humides, comme si c'était dans la nef de quelque grotte irisée de sinueuses stalactites que je suivais mes parents, qui portaient leur paroissien ; un instant après les petits vitraux en losange avaient pris la transparence profonde, l'infrangible dureté de saphirs qui eussent été juxtaposés sur quelque immense pectoral, mais derrière lesquels on sentait plus aimé que toutes ces richesses, un sourire momentané de soleil ; il était aussi reconnaissable dans le flot bleu et doux dont il baignait les pierreries que sur le pavé de la place ou la paille du marché ; et, même à nos premiers dimanches quand nous étions arrivés avant pâques, il me consolait que la terre fût encore nue et noire, en faisant épanouir, comme en un printemps historique et qui datait des successeurs de saint Louis, ce tapis éblouissant et doré de myosotis en verre.",C2
3974,Tu penses que la bibliothèque est ouverte ?,A1
616,La consommation sera encadrée par du personnel et éloignée des lieux publics,B2
114,"Si sept millions de citadins rêvent de refaire leur vie aux champs, tous ne passent pourtant pas à l'acte. ""Il y a toujours un événement déclencheur"", constate la directrice de Changer tout.",B2
417,"Je vous ai dit, c'est une fille bizarre.",A2
3069,"On constate, en outre, que la chauve-souris peut voler malgré l'ablation d'une notable étendue de la membrane de ses ailes, pourvu que la partie restante corresponde aux espaces interdigitaux.",C2
1625,"Jamais, moi je parlerai comme ça de mon père.",A2
4751,"Les langues sont un système de signes, constitués en lexique, pour construire des énoncés",C2
4185,Le parc national de Chamonix a besoin de 5 guides pour l'été.,A1
2896,La police cherche le voleur de mon vélo.,A1
4489,"Pour pallier le manque de compétences transversales, la créativité dans les salles de classe de tous âges pourrait être le fait des élèves eux-mêmes, en devenant des ""proconsommateurs"" - producteurs et consommateurs - de connaissances.",C2
2082,"À mon avis, par rapport à la journée scolaire de la plupart des pays européens, on n'a pas de chance: on est obligés de se lever tôt et de travailler tard.",B1
753,"Deux Mulets cheminaient, l'un d'avoine chargé, l'autre portant l'argent de la gabelle.",B2
2546,Après cette déclaration héroïque la comtesse ne voulut plus des chevaux ni de la loge du comte N. Mais depuis quinze ans elle était accoutumée à la vie la plus élégante : elle eut à résoudre ce problème difficile ou pour mieux dire impossible : vivre à Milan avec une pension de quinze cents francs.,C1
3969,"Ou plutôt, il ne se la pose plus : il n'aime pas l'école, il la déteste.",A2
3373,Vous allez au restaurant.,A1
4107,"À l'heure actuelle, pour 7 milliards et demi d'individus, on compte 4 milliards de postes de radio, 4 milliards de télévisions, 2 milliards de téléphones portables, 2 milliards d'ordinateurs.",B2
2444,Et si nous allions au cinéma,B1
4380,"Aujourd'hui, la classe inversée, une innovation pédagogique qui rencontre un succès sans précédent.",C1
1066,Quelqu'un a essayé de brûler la maison et on ignore qui et pourquoi.,B1
3913,"Nous devons apprendre une multitude de langages: scientifiques tels le numérique, les langues étrangères, les langages des sons et des images, le langage du corps.",C2
3498,Ma mère viendra en France.,B1
2738,"Un jour, en sport, je prends le ballon sur le nez.",A2
4000,"Ce licol : Le terme licol"" n'est plus très utilisé.",A2
1568,"Deux passions artistiques qui lui permettent d'accéder à son premier rôle au cinéma : celui d'une professeure de piano dans le film Au revoir les enfants, de Louis Malle.",C1
2427,"Pour moi, c'est pas du tout frustrant, je suis très content de partir en France et ça faisait très longtemps que j'avais envie de venir en Bretagne, donc pour moi, c'était une très bonne opportunité.",B1
3746,"Elle sourit involontairement de vanité, en voyant la foule qui se précipitait à droite par l'autre corridor, tandis qu'elle montait l'escalier des premières.",C2
4457,J'en profite pour me baigner à la rivière avec mes cousins presque tous les jours !,A2
1687,"En le voyant, vous comprendez mieux.",B1
851,"La misandrie est une haine-réponse, dans un contexte de domination patriarcale qui est lui-même violent envers les femmes.",C2
3546,Tu es un vrai chef cuisinier,A1
895,Nous crûmes longtemps que nos ancêtres eurent vécu une vie de rêve.,C2
335,Les vacances approchent et j'aimerais bien te voir !,A2
2839,"Thomas Garnier s'occupe de la communication numérique du château de Versailles, et c'est lui qui imagine ces petites vidéos ludiques de plus en plus visibles sur les réseaux sociaux.",B2
3087,"Pourquoi ne redeviendrait-il pas la belle plante humaine, robuste et droite, qu'il était hier encore, avant que l'humidité des caves morlaisiennes n'eût aigri sa sève et noué ses rameaux ?",C2
1348,Bien sûr que tu vas y aller.,A1
1015,"Pour le mariage mixte, le choc culturel est presque certain.",B2
2816,Je fais ma toilette et je prends mon petit déjeuner,A1
1631,"Mais à la fin, monsieur, quelle raison avez-vous de haïr Montfleury ?",B1
2489,"Revue une fois, elle sera cette fois plus facilement accessible""",C1
3730,Nous nageons dans la piscine.,A1
3251,"Ce soir, nous ne faisons pas la fête parce que nous devons nous lever tôt.",A2
4452,Débuter la journée par un premier repas organisé autour d'une de ces boissons dopantes que l'on sucre peut sembler passablement anecdotique.,C2
2070,"Cette somme comprend les dépenses d'électricité et de chauffage au domicile principal et, le cas échéant, au domicile secondaire, ainsi que les dépenses pour l'essence ou le diesel.",C1
4688,Un phénomène d'autant plus inquiétant que ce n'est pas la première fois qu'il se produit,A2
1635,"Le rap, c'est plus pour moi ""boom bap"", un peu ce qui se faisait avant",A2
2479,"Du haut de la Tour Eiffel, on peut voir les principaux monuments de Paris",B1
2265,Le ministre de l'Education nationale a assuré que ces étudiants seront rémunérés pour la réalisation de ces tests.,B2
2959,"Les outils numériques contribuent à la formation des élèves. On aurait préféré une réfexion collective sur la place du numérique à l'école plutôt que de découvrir que le sujet serait à nouveau relancé, sans dialogue.",B2
3059,Il ne pourra pas rentrer en boîte de nuit puisqu'il a perdu sa carte d'identité.,A2
2141,"Un enseignement fondé sur l'expérimentation et la pratique, des objectifs d'apprentissage transversaux, des actions tournées en priorité vers la formation continue des enseignants, menées en collaboration avec la communauté scientifique et professionnelle : le travail de défrichage réalisé par la fondation dans le domaine des sciences pourrait s'appliquer parfaitement à la problématique de l'enseignement de la culture informatique.",C2
3118,"Vous parlez de la loi en général, mais vous oubliez de préciser que ce texte n'est pas voté!",B1
4542,"C'est une question de vie ou de mort, martèle Sheila Watt-Cloutier.",C1
4045,Il sera nécessaire de faire un effort de pédagogie pour faire adopter ces nouvelles technologies qui se banalise-ront.,C2
3356,"Cette idée brillante m'est venue hier en rêvamt, je vais tout t'expliquer.",B1
2744,Cette histoire ne ressemble pas à celle de Vacances romaines.,A1
3506,"La vie est plus saine, l'air est pur et la vie est moins chère qu'en ville",B1
1679,"Oui, je l'ai reçue hier.",B1
4249,"Cet après-midi, avec mes amis nous allons au cinéma.",A1
3147,"Bien que, en ce sens, différentes réactions synthétiques puissent avoir lieu indépendamment des êtres vivants, il est d'usage de ne désigner par ce mot que la capacité des végétaux chlorophylliens à assimiler le dioxyde de carbone ou gaz carbonique, à la lumière, avec formation de substances organiques.",C1
2294,"Si les produits anti, pré et probiotiques agissent sur le comportement, en modifiant la composition de la flore intestinale, ils pourraient donc servir de médicaments psychotropes.",C1
580,Bonjour à tous !,A1
1470,"Alors après, on va bien distinguer dans les dettes : les dettes publiques, privées, multilatérales.Voilà, parce que de quelles dettes parle-t-on ?",B2
4070,Nous avons commencé un nouveau cours,A2
3343,"Dès que Fabrice fut sorti de la petite ville, marchant gaillardement le sabre de hussard sous le bras, il lui vint un scrupule.",C1
3672,"Tout comme les comportements des animaux sont déterminés par l'instinct, leur environnement ou des déterminations biologiques, les actes et les pensées des hommes le sont eux-mêmes par de multiples facteurs à la fois internes et externes dont on ignore le plus souvent l'existence et la puissance : facteurs d'origine physiologiques, psychologiques, sociales, etc",C2
559,"La seconde modernité y adjoint un individualisme plus concret qui valorise la construction des identités de chacun et de chacune, puisque l'émancipation des femmes ressortit de cette période.",C1
2849,"C'est pourquoi, il décida de remplacer les habi-tuelles portes automatiques par des portiers en superbe livrée, ce qui donna un caractère très luxueux à cet aéro-port.",C2
512,"Un seigneur quelque peu infernal les attire, un sourire dangereux les trouble.",C1
1081,"En musique, l'épanadiplose est une ressource d'effets mélodiques des comptines.",C2
1664,Nous bénéficions de moyens financiers suffisants et justifier les raisons de leur séjour,C1
1012,"Le lendemain, en se promenant, il rencontra un gueux tout couvert de pustules, les yeux morts, le bout du nez rongé, la bouche de travers, les dents noires, et parlant de la gorge, tourmenté d'une toux violente et crachant une dent à chaque effort.",C1
1931,Elle passe aussi à la boulagerie et elle achète une baguette toute chaude et des croissants pour le petit-déjeuner,A1
1150,L'école a-t-elle fait changer le monde ?,A2
2838,"J'ai 23 ans, je parle chinois, j'aime la lecture !",A1
116,Après tout que lui offre-t-elle à part de l'ennui et une grosse boule d'angoisse au creux du ventre ?,A2
740,"Lorsqu'une jeune femme aveugle e effleuré cette inscription en braille sur le mur de l'église Sainte-Croix de Nantes, elle a éclaté de rire",C1
4616,Je suis content car je ne le vois pas souvent,A2
3675,"Vous pouvez expliquer encore une fois, s'il vous plaît ?",A1
830,Elle est chanteuse.,A1
119,Ces tanières se fondent dans la nature pour être quasiment invisibles.,C1
4590,"une requête est une demande, une sollicitation, une prière.",B1
4553,"Après son repas, il retourne à la salle de bain pour se brosser les dents et pour aller aux toilettes.",A2
635,"Ce matin, Sarah est triste.",A1
4465,A regarder en VO pour ne rien perdre de ce décalage.,B1
4364,"Et, depuis sept ans, la Sorbonne forme des promotions de licenciés ès ""écrivain public, assistant en démarches administratives et en écritures privées"" qui iront exercer leurs talents dans les multiples secteurs que couvre la profession.",C1
4142,Leur capacité de concentraction s'effiloche.,B2
991,"Quand j'ai attteint mes 1 ans et demi, j'ai appris à marcher de manière autonome et assurée.",B1
876,"De la loi Toubon aux exigences de passage de musique en langue française à la radio, notre protectionnisme culturel fait tout son possible pour nous protéger des langues étrangères",C2
4,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1
3051,Aucune décision russe n'est attendue avant l'élection présidentielle de mars.,C1
3124,"Des divergences profondes peuvent apparaître dans les orientations proposées par chacun d'entre eux en matière de respect de l'autorité, de liberté, d'exercice des responsabilités, de dispense de câlins, etc.",C2
2660,Je vais aller prendre du pain à la boulangerie pour le petit-dejeuner.,A2
2491,"Mais, quand d'un passé ancien rien ne subsiste, aprés la mort des êtres, après la destruction des choses, seules, plus frèles mais plus vivaces, plus immatérielles, plus persistantes, plus fidèles, l'odeur et la saveur restent encore longtemps, comme des âmes, à se rappeler, à attendre, à espérer, sur la ruine de tout le reste, à porter sans fléchir, sur leur gouttelette presque impalpable, l'édifice immense du souvenir.",C2
3854,"Ensuite, nous pouvons difficilement prévoir la quantité d'essais à gérer en parallèle.",B2
1715,"Mesdames, votre attention, s'il vous plaît.",A1
1148,"Dans le sac, il y a un téléphone, des clés, un ordinateur, une photo et un portefeuille",A1
3261,Vincent cherche une idée de cadeau pour le départ de sa collègue de bureau,A2
574,Tu as passé une bonne journée.,A1
3769,Rien ne va plus: les primaires du parti socialiste tournent en eau de boudin.,B2
3736,"Le deuxième profil représente les cantons qui ont des instruments de contingentement spatial à l'apparence similaires à ceux du premier groupe, mais qui sont utilisés avec une précision moindre et ouvrant plus facilement la porte à des exceptions et à des modifications des limites des zones constructibles.",C2
4146,"Là, la trap, ça vient tout droit des States et c'est tout nouveau en fait dans le rap",A2
853,"En attendant, de petites formations d'initiation à l'algorithmique et au langage informatique ont été réalisées pour les professeurs des écoles et des collèges, les inspecteurs et les formateurs d'IUFM (Institut Universitaire de Formation des Maîtres).",B2
1982,Un débat public et démocratique est donc nécessaire!,C1
2774,Toute défection démocrate doit donc être compensée par un vote républicain.,B2
1166,"Alors qu'elle revenait du marché à travers la brousse, une femme laisse tomber une cruche et continue son chemin sans s'apercevoir de rien.",A1
971,D'autre part les pays détenant une partie de la forêt tropicale en font une source de revenus optimale à court terme.,B2
2701,"Les jambes sont visiblement instituées pour être chaussées, et nous avons des chaussures.",B2
3847,"Que les marquis se taisent sur leurs bancs, ou bien je fais tâter ma canne à leurs rubans !",C1
2368,"Oui, je parle un peu.",A1
4115,"Certains produits leur devinrent ensuite indispensables, en particulier le sucre.",C2
4131,"De mes fenêtres, je vois la Seine qui coule, le long de mon jardin, derrière la route, presque chez moi, la grande et large Seine qui va de Rouen au Havre, couverte de bateaux qui passent.",B2
2950,"Elle travaillera principalement à l'accueil au début, puis en salle pour assurer le service des clients avec les équipes du midi et du soir.",B1
524,Ma mère m'a exceptionnellement laissé boire du vin chaud même si je n'ai normalement pas le droit,B1
2455,Nous sommes normalement à un moment de l'année où ce genre de phénomènes est en train de diminuer,A2
1841,"Enfermés dans la souricière d'amour, condamnés aux travaux d'amour à perpétuité, ils étaient couchés l'un près de l'autre, beaux, tendres aimants et sans but.",C2
537,Disons que la coopération fait partie de l'arsenal pédagogique des élèves.,C1
2806,J'en profite pour faire une grasse-matinée et je sors de mon lit à dix heures.,A1
4341,"Grâce à un bienfaiteur, Julien a grandi dans une famille qui s'est occupée de lui et qui l'a éduqué.",A2
3175,"Franny Stone et son mari Niall, ornithologue, ont été aux avant-postes du crépuscule de la biodiversité.",C1
784,Il apprendra à ne pas courir après un ballon ou à ne pas avoir peur du klaxon des voitures.,B1
4057,On se battait donc enfin !,B2
1409,Sa voiture rouge est très rapide.,A1
2537,"Sans son manteau et ses gants, ils seraient morts de froid.",B2
154,"Alors qu'au cours du Paléolithique, la diffusion avait fractionné l'écoumène en petits groupes, la tendance depuis la fin de la dernière glaciation est à l'épaississement des relations dans l'Ancien Monde, par augmentation des effectifs et par tissage d'interconnexions.",C2
3009,"Par exemple, lorsque le chien signale quelque chose, le maître doit comprendre le sens.",B1
1686,Nous savions pertinemment qu'être aussi justes financièrement n'était pas normal.,B2
2901,Ils ont deux enfants : un fils qui s'appelle André et une fille qui est très gentille.,A1
4750,Le héros mourait héroiquement des suite des ses blessures à la fin du film.,B1
3863,L'idéal est évidemment que le parent sache sur quelles notions son enfant a achoppé durant l'année,C2
2733,"De plus, les agences nationales réglementaires de notre pays exigent de nous davantage de qualité, de sécurité et de fiabilité.",B2
1895,"Son fils l'aide, mais il est encore très jeune : il n'a que treize ans, ce n'est pas encore un guerrier.",A2
569,"Dans ces lieux imaginés, rien ne nous perturbera",C2
1816,Je ne me le suis jamais demandé.,A2
2065,J'eusse dû te le confier en amont de notre conversation avec les investisseurs,C2
127,On semble oublier que le personnel en milieu scolaire applique déjà cette mesure.,B2
3394,C'était une soirée comme les autres.,B1
3327,Ce mémoire concerne l'étude de la retrocycloaddition d'oxazolidines conduisant a l'espece reactive ylure d'azomethine.,C2
4786,Qu'est-ce que c'est ?,A1
2975,"Cette fête est encore traditionnellement fêtée en France, même si, comme pour Noël, elle a souvent perdu son aspect religieux",B1
980,Je suis restée quatre semaines à Boston dans une famille.,A2
2300,"L'Auberge du Presbytère nous attendait, chambre des vicaires",C2
190,"Après l'ambiance de luxe, ici c'est comme un tranquille village",B1
1139,Hier s'est terminé le Salon de la pâtisserie de Paris.,A2
699,Il est l'heure de déjeuner !,A1
4591,"Les genoux au menton, les bras croisés sur la poitrine, il se fit boule pour mieux interroger le mot qui ne quittait jamais longtemps sa pensée.",C1
606,Il a un pantalon vert et une chemise blanche,A1
4276,Ne t'inquiète pas.,A1
301,"Ils déjeunèrent face à face, se regardant et se souriant sans cesse, occupés uniquement d'eux, tout enveloppés par le charme si doux d'une tendresse qui commence.",C1
3420,Je vous saurais gré de bien vouloir me donner votre réponse dans les plus brefs délais,C2
4630,Vous allez bientôt avoir une grande surprise !,A1
1060,"Nous voulûmes donner suite à sa requête, mais nous dûmes nous résoudre et nous nous tûmes sur les tenants et aboutissants.",C2
2565,Il y a une armoire ?,A1
4794,Elle connaissait à présent la petitesse des passions que l'art exagérait.,C1
1069,"Bref : réfléchir à l'utilisation que vous allez en avoir et non pas en fonction du prix, même mini !",A2
2524,"Mais cette année, nous ne savons pas si nous pourrons y aller.",B1
2205,Les trafiquants d'êtres humains prétendent garder les passeports de leur victimes pour mettre ces documents en lieu sûr.,B2
1243,Je regarde un film en allemand.,A1
16,Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2
3120,"Les grainetiers, les grands grainetiers québécois n'ont plus de stock, et donc l'approvisionnement est rendu difficile.",B2
815,Quel films est-ce que tu préfères ?,A2
3067,"Ils respiraient la nuit diamantée d'étoiles, écoutaient les remuements ténus des feuilles dans les arbres, murmures de leur amour.",C2
959,Dans l'intérêt d'une sécurité optimale pour le bénéficiaire elles sont toutefois indispensables.,C1
225,Twitter va bannir les utilisateurs en cas de désinformation répétée sur les vaccins.,B2
3354,Anna franchit le seuil et se débarrassa de ses chaussures.,B2
2485,Ce sont elles qui les comptent et les mettent dans notre panier.,A2
562,"Aussitôt installés derrière nos pupitres, nous commençâmes la discussion thématique inscrite à l'ordre du jour.",C2
3436,Le fait est méconnu mais l'Afrique a aussi un marché carbone qui valorise les efforts environnementaux des entreprises.,C1
1693,"Ils auraient voulu que ces vacances ne finissent jamais, mais ils rentrés des souvenirs plein la tête",B2
1045,"D'autres, comme le Front de Libération des Animaux (Animal Liberation Front), considèrent la chose du point de vue animal et soutiennent que les animaux ne doivent pas être considérés comme des 'ressources renouvelables' assujetties à l'exploitation humaine.",C1
3446,"Célibat, sous-fécondité a l'échelle ibérique et départs forment ainsi un système régulateur de la croissance démographique.",C2
954,"Ne te couche pas trop tard, tu vas à l'école demain.",A1
4785,Je vais vous donner une traitement qui va vous aider.,B1
2735,"Cette communauté arctique d'une centaine d'âmes, isolée sur une île de la mer de Beaufort, a répertorié les changements observés depuis le début des années 90 : hivers moins rigoureux, hausse du niveau de la mer, formation de la glace plus tard dans la saison et dégel avancé, fonte du permafrost, arrivée de nouvelles espèces animales (rouges-gorges, saumons).",C1
4709,"Il prévoit que les plantations de forêts sont déductibles des émissions de gaz à effet de serre (GES), puisque les arbres croissent en pompant le gaz carbonique dans l'air.",C1
4633,"Après un trajet en bus, il est heureux de retrouver la mer",B1
1218,Le journal a été emporté par un coup de vent.,B1
1527,En attendant la retraite.,A2
3987,Qu'est-ce que tu fais pour les vacances cette année,A1
1300,Tout le monde n'a pas l'argent pour se payer une machine à laver.,B1
4697,L'origine politique du sens moderne du mot Europe est claire: on est parvenu à l'idée d'Europe à partir de la notion d'équilibre européen.,C2
160,Ils suivaient une sente creuse que dominait des deux côtés un talus de six pieds de haut.,C2
4067,"À Milan, dix fois par jour il voyait le prince Eugène, et eût pu lui adresser la parole.",B2
956,Il faut les fabriquer.,B1
3791,"Sur le fond, il enclenche une politique progressiste",C1
3234,"Le jour de l'An correspond au 1 janvier ; on le fête avec ses amis ou sa famille, et on souhaite ""bonne année !"" à ses proches.",A2
2869,"Dans les écoles, les collèges et les lycées publics, le port de signes ou tenues par lesquels les élèves manifestent ostensiblement une appartenance religieuse est interdit.",B2
3777,"En allant à la campagne, nous aurions cueilli des petits fruits.",B2
4433,Voudrais-tu te joindre à nous ?,A2
2961,"Une dictature c'est quand les gens sont communistes, déjà.",B1
2200,"Là, il pourra visiter la fameuse basilique Notre Dame de Fourvière et contempler la splendide vue panoramique sur la ville de Lyon depuis le belvédère",B2
98,"Quand il y a des nuages avec de la neige qui tombe, c'est qu'il va neiger et qu'il peut y avoir du brouillard, des risques de congélation, de la glace et que la température sera très basse",B1
2557,"Faits divers, faits divers, alors qu'on est au printemps, faits divers alors qu'on est au printemps - ""d'hiver""",C1
3183,Je ne sais pas.,A1
253,Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage,B2
3923,Mon grand-père nous adore et nous offre de nombreux cadeaux.,A2
4199,C'est avec grand plaisir que je vous envoie ce message pour vous décrire votre voyage à Paris en notre compagnie.,A2
1445,J'ai vu Christine et elle m'a dit que tout va bien pour toi.,A2
1648,Vous êtes donc à la rédaction d'Inter spécialiste des questions environnementales et nous fêtons aujourd'hui les trente ans du Conservatoire du littoral.,C1
3991,"Et dans votre pays, ça se passe comment ?",A2
1696,Il suffit de rester 30 minutes dans la cabine LIRVA pour être capable de se débrouiller dans toutes les situations de la vie quotidienne et dans la langue de son choix.,A1
